account_status	duration_months	credit_history	purpose	amount	savings_bonds	employment_since	installment_rate	sex_status	guarant_other	residence_since	property	age	other_installments	housing	number_of_credits	job	num_maintenance	telephone	foreign_workerer	credit
no_account	24	other_credits	house_investments	3777	>1000DM	1-4years	4	single_male	none	4	real_estate	50	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	18	other_credits	car(new)	884	<100DM	>7years	4	single_male	none	4	car_other	36	bank	own	1	skilled_employee	2	yes	yes	bad_credit
no_account	15	other_credits	house_investments	1360	<100DM	1-4years	4	single_male	none	2	life_insurance	31	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	9	all_credits_payed	car(used)	5129	<100DM	>7years	2	female	none	4	none	74	bank	for_free	1	high_qualified	2	yes	yes	bad_credit
0-200DM	16	other_credits	car(new)	1175	<100DM	unemployed	2	single_male	none	3	car_other	68	none	for_free	3	none	1	yes	yes	good_credit
negative	12	all_existing_credits_payed	house_investments	674	100-500DM	4-7years	4	male	none	1	life_insurance	20	none	own	1	skilled_employee	1	none	yes	bad_credit
0-200DM	18	all_credits_payed	house_investments	3244	<100DM	1-4years	1	female	none	4	car_other	33	bank	own	2	skilled_employee	1	yes	yes	good_credit
no_account	24	all_existing_credits_payed	business	4591	>1000DM	1-4years	2	single_male	none	3	life_insurance	54	none	own	3	high_qualified	1	yes	yes	bad_credit
0-200DM	48	all_credits_payed	business	3844	100-500DM	4-7years	4	single_male	none	4	none	34	none	for_free	1	unskilled_employee	2	none	yes	bad_credit
0-200DM	27	all_existing_credits_payed	business	3915	<100DM	1-4years	4	single_male	none	2	car_other	36	none	own	1	skilled_employee	2	yes	yes	bad_credit
no_account	6	all_existing_credits_payed	house_investments	2108	<100DM	4-7years	2	male	none	2	real_estate	29	none	rent	1	skilled_employee	1	none	yes	good_credit
0-200DM	45	all_existing_credits_payed	house_investments	3031	100-500DM	1-4years	4	single_male	guarantor	4	life_insurance	21	none	rent	1	skilled_employee	1	none	yes	bad_credit
0-200DM	9	other_credits	education	1501	<100DM	>7years	2	female	none	3	car_other	34	none	own	2	high_qualified	1	yes	yes	bad_credit
no_account	6	other_credits	house_investments	1382	<100DM	1-4years	1	female	none	1	car_other	28	none	own	2	skilled_employee	1	yes	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	951	100-500DM	<1year	4	female	none	4	car_other	27	bank	rent	4	skilled_employee	1	none	yes	bad_credit
0-200DM	24	all_existing_credits_payed	car(used)	2760	no_account	>7years	4	single_male	none	4	none	36	bank	for_free	1	skilled_employee	1	yes	yes	good_credit
0-200DM	18	delay_in_payments	house_investments	4297	<100DM	>7years	4	male	none	3	none	40	none	own	1	high_qualified	1	yes	yes	bad_credit
no_account	9	other_credits	education	936	500-1000DM	>7years	4	single_male	none	2	car_other	52	none	own	2	skilled_employee	1	yes	yes	good_credit
negative	12	all_existing_credits_payed	car(new)	1168	<100DM	1-4years	4	male	none	3	real_estate	27	none	own	1	unskilled_employee	1	none	yes	good_credit
no_account	27	delay_in_payments	business	5117	<100DM	4-7years	3	single_male	none	4	car_other	26	none	own	2	skilled_employee	1	none	yes	good_credit
negative	12	all_existing_credits_payed	education	902	<100DM	4-7years	4	male	none	4	life_insurance	21	none	rent	1	skilled_employee	1	none	yes	bad_credit
no_account	12	other_credits	car(new)	1495	<100DM	>7years	4	single_male	none	1	real_estate	38	none	own	2	unskilled_employee	2	none	yes	good_credit
negative	30	other_credits	car(used)	10623	<100DM	>7years	3	single_male	none	4	none	38	none	for_free	3	high_qualified	2	yes	yes	good_credit
no_account	12	other_credits	house_investments	1935	<100DM	>7years	4	single_male	none	4	real_estate	43	none	own	3	skilled_employee	1	yes	yes	good_credit
0-200DM	12	other_credits	house_investments	1424	<100DM	4-7years	4	single_male	none	3	life_insurance	26	none	own	1	skilled_employee	1	none	yes	good_credit
negative	24	all_existing_credits_payed	business	6568	<100DM	1-4years	2	male	none	2	car_other	21	stores	own	1	unskilled_employee	1	none	yes	good_credit
no_account	12	all_existing_credits_payed	car(used)	1413	>1000DM	4-7years	3	single_male	none	2	life_insurance	55	none	own	1	skilled_employee	1	none	no	good_credit
no_account	9	other_credits	house_investments	3074	no_account	1-4years	1	single_male	none	2	real_estate	33	none	own	2	skilled_employee	2	none	yes	good_credit
no_account	36	all_existing_credits_payed	house_investments	3835	no_account	>7years	2	female	none	4	real_estate	45	none	own	1	unskilled_employee	1	yes	yes	good_credit
negative	27	all_credits_payed	business	5293	<100DM	unemployed	2	single_male	none	4	life_insurance	50	stores	own	2	skilled_employee	1	yes	yes	bad_credit
>200DM	30	delay_in_payments	business	1908	<100DM	>7years	4	single_male	none	4	real_estate	66	none	own	1	high_qualified	1	yes	yes	bad_credit
no_account	36	other_credits	house_investments	3342	no_account	>7years	4	single_male	none	2	car_other	51	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	6	other_credits	education	932	no_account	4-7years	1	female	none	3	life_insurance	39	none	own	2	unskilled_employee	1	none	yes	good_credit
negative	18	all_credits_payed	business	3104	<100DM	4-7years	3	single_male	none	1	life_insurance	31	bank	own	1	skilled_employee	1	yes	yes	good_credit
>200DM	36	all_existing_credits_payed	house_investments	3913	<100DM	1-4years	2	single_male	none	2	real_estate	23	none	own	1	skilled_employee	1	yes	yes	good_credit
negative	24	all_existing_credits_payed	house_investments	3021	<100DM	1-4years	2	male	none	2	real_estate	24	none	rent	1	unskilled_employee	1	none	yes	good_credit
no_account	10	all_existing_credits_payed	car(new)	1364	<100DM	1-4years	2	female	none	4	car_other	64	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	625	<100DM	<1year	4	male	guarantor	1	real_estate	26	bank	own	1	unskilled_employee	1	none	yes	good_credit
negative	12	all_existing_credits_payed	education	1200	no_account	1-4years	4	female	none	4	life_insurance	23	bank	rent	1	skilled_employee	1	yes	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	707	<100DM	1-4years	4	single_male	none	2	real_estate	30	bank	own	2	skilled_employee	1	none	yes	good_credit
no_account	24	delay_in_payments	business	2978	no_account	1-4years	4	single_male	none	4	real_estate	32	none	own	2	skilled_employee	2	yes	yes	good_credit
no_account	15	all_existing_credits_payed	car(used)	4657	<100DM	1-4years	3	single_male	none	2	car_other	30	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	36	all_credits_payed	house_investments	2613	<100DM	1-4years	4	single_male	none	2	car_other	27	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	48	all_existing_credits_payed	house_investments	10961	>1000DM	4-7years	1	single_male	co-applicant	2	none	27	bank	own	2	skilled_employee	1	yes	yes	bad_credit
negative	12	all_existing_credits_payed	house_investments	7865	<100DM	>7years	4	single_male	none	4	none	53	none	for_free	1	high_qualified	1	yes	yes	bad_credit
no_account	9	all_existing_credits_payed	house_investments	1478	<100DM	4-7years	4	single_male	none	2	car_other	22	none	own	1	skilled_employee	1	none	yes	bad_credit
negative	24	all_existing_credits_payed	house_investments	3149	<100DM	<1year	4	single_male	none	1	none	22	bank	for_free	1	skilled_employee	1	none	yes	good_credit
>200DM	36	all_existing_credits_payed	house_investments	4210	<100DM	1-4years	4	single_male	none	2	car_other	26	none	own	1	skilled_employee	1	none	yes	bad_credit
no_account	9	all_existing_credits_payed	car(new)	2507	500-1000DM	>7years	2	single_male	none	4	none	51	none	for_free	1	unskilled_employee	1	none	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	2141	100-500DM	4-7years	3	single_male	none	1	none	35	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	18	all_existing_credits_payed	house_investments	866	<100DM	1-4years	4	male	guarantor	2	real_estate	25	none	own	1	unskilled_employee	1	none	yes	good_credit
no_account	4	other_credits	house_investments	1544	<100DM	4-7years	2	single_male	none	1	real_estate	42	none	own	3	unskilled_employee	2	none	yes	good_credit
negative	24	all_existing_credits_payed	house_investments	1823	<100DM	unemployed	4	single_male	none	2	car_other	30	stores	own	1	high_qualified	2	none	yes	bad_credit
0-200DM	6	all_existing_credits_payed	car(new)	14555	no_account	unemployed	1	single_male	none	2	life_insurance	23	none	own	1	none	1	yes	yes	bad_credit
0-200DM	21	all_existing_credits_payed	business	2767	100-500DM	>7years	4	male	none	2	car_other	61	bank	rent	2	unskilled_employee	1	none	yes	bad_credit
no_account	12	other_credits	house_investments	1291	<100DM	1-4years	4	female	none	2	life_insurance	35	none	own	2	skilled_employee	1	none	yes	good_credit
negative	30	all_existing_credits_payed	house_investments	2522	<100DM	>7years	1	single_male	guarantor	3	life_insurance	39	none	own	1	skilled_employee	2	none	yes	good_credit
negative	24	all_existing_credits_payed	car(new)	915	no_account	>7years	4	female	none	2	car_other	29	bank	own	1	skilled_employee	1	none	yes	bad_credit
no_account	6	all_existing_credits_payed	house_investments	1595	<100DM	4-7years	3	single_male	none	2	life_insurance	51	none	own	1	skilled_employee	2	none	yes	good_credit
negative	48	all_credits_payed	car(used)	4605	<100DM	>7years	3	single_male	none	4	none	24	none	for_free	2	skilled_employee	2	none	yes	bad_credit
no_account	12	other_credits	business	1185	<100DM	1-4years	3	female	none	2	real_estate	27	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	12	all_credits_payed	education	3447	500-1000DM	1-4years	4	female	none	3	real_estate	35	none	own	1	unskilled_employee	2	none	yes	good_credit
no_account	24	all_existing_credits_payed	business	1258	<100DM	4-7years	4	single_male	none	1	real_estate	25	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	12	other_credits	house_investments	717	<100DM	>7years	4	single_male	none	4	real_estate	52	none	own	3	skilled_employee	1	none	yes	good_credit
no_account	6	all_credits_payed	car(new)	1204	100-500DM	1-4years	4	single_male	none	1	none	35	bank	rent	1	skilled_employee	1	none	no	good_credit
>200DM	24	all_existing_credits_payed	house_investments	1925	<100DM	1-4years	2	single_male	none	2	real_estate	26	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	house_investments	433	<100DM	unemployed	3	female	co-applicant	4	real_estate	22	none	rent	1	skilled_employee	1	none	yes	bad_credit
negative	6	other_credits	car(new)	666	>1000DM	4-7years	3	female	none	4	real_estate	39	none	own	2	unskilled_employee	1	yes	yes	good_credit
>200DM	12	all_existing_credits_payed	house_investments	2251	<100DM	1-4years	1	female	none	2	car_other	46	none	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	30	all_existing_credits_payed	car(new)	2150	<100DM	1-4years	4	female	guarantor	2	none	24	bank	own	1	skilled_employee	1	none	yes	bad_credit
no_account	24	delay_in_payments	house_investments	4151	100-500DM	1-4years	2	single_male	none	3	life_insurance	35	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	9	all_existing_credits_payed	house_investments	2030	no_account	4-7years	2	single_male	none	1	car_other	24	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	60	delay_in_payments	house_investments	7418	no_account	1-4years	1	single_male	none	1	real_estate	27	none	own	1	unskilled_employee	1	none	yes	good_credit
no_account	24	other_credits	house_investments	2684	<100DM	1-4years	4	single_male	none	2	real_estate	35	none	own	2	unskilled_employee	1	none	yes	good_credit
negative	12	all_credits_payed	house_investments	2149	<100DM	1-4years	4	male	none	1	none	29	none	for_free	1	skilled_employee	1	none	yes	bad_credit
no_account	15	all_existing_credits_payed	car(used)	3812	100-500DM	<1year	1	female	none	4	car_other	23	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	11	other_credits	house_investments	1154	100-500DM	unemployed	4	female	none	4	real_estate	57	none	own	3	unskilled_employee	1	none	yes	good_credit
negative	12	all_existing_credits_payed	house_investments	1657	<100DM	1-4years	2	single_male	none	2	real_estate	27	none	own	1	skilled_employee	1	none	yes	good_credit
negative	24	all_existing_credits_payed	house_investments	1603	<100DM	>7years	4	female	none	4	car_other	55	none	own	1	skilled_employee	1	none	yes	good_credit
negative	18	other_credits	car(new)	5302	<100DM	>7years	2	single_male	none	4	none	36	none	for_free	3	high_qualified	1	yes	yes	good_credit
no_account	12	other_credits	education	2748	<100DM	>7years	2	female	none	4	none	57	bank	for_free	3	unskilled_employee	1	none	yes	good_credit
no_account	10	other_credits	car(new)	1231	<100DM	>7years	3	single_male	none	4	real_estate	32	none	own	2	unskilled_employee	2	none	no	good_credit
0-200DM	15	all_existing_credits_payed	house_investments	802	<100DM	>7years	4	single_male	none	3	car_other	37	none	own	1	skilled_employee	2	none	yes	bad_credit
no_account	36	other_credits	business	6304	no_account	>7years	4	single_male	none	4	real_estate	36	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	24	all_existing_credits_payed	house_investments	1533	<100DM	<1year	4	female	none	3	car_other	38	stores	own	1	skilled_employee	1	yes	yes	good_credit
negative	14	all_existing_credits_payed	car(new)	8978	<100DM	>7years	1	male	none	4	life_insurance	45	none	own	1	high_qualified	1	yes	no	bad_credit
no_account	24	all_existing_credits_payed	house_investments	999	no_account	>7years	4	single_male	none	2	car_other	25	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	car(new)	2662	no_account	4-7years	4	single_male	none	3	life_insurance	32	none	own	1	skilled_employee	1	none	no	good_credit
no_account	12	other_credits	house_investments	1402	500-1000DM	4-7years	3	female	none	4	car_other	37	none	rent	1	skilled_employee	1	yes	yes	good_credit
0-200DM	48	all_credits_payed	car(new)	12169	no_account	unemployed	4	single_male	co-applicant	4	none	36	none	for_free	1	high_qualified	1	yes	yes	good_credit
0-200DM	48	all_existing_credits_payed	house_investments	3060	<100DM	4-7years	4	single_male	none	4	real_estate	28	none	own	2	skilled_employee	1	none	yes	bad_credit
negative	30	all_existing_credits_payed	house_investments	11998	<100DM	<1year	1	male	none	1	none	34	none	own	1	unskilled_employee	1	yes	yes	bad_credit
no_account	9	all_existing_credits_payed	house_investments	2697	<100DM	1-4years	1	single_male	none	2	real_estate	32	none	own	1	skilled_employee	2	none	yes	good_credit
no_account	18	other_credits	house_investments	2404	<100DM	1-4years	2	female	none	2	car_other	26	none	own	2	skilled_employee	1	none	yes	good_credit
negative	12	all_existing_credits_payed	house_investments	1262	no_account	>7years	2	male	none	4	life_insurance	49	none	own	1	unskilled_employee	1	yes	yes	good_credit
no_account	6	all_existing_credits_payed	house_investments	4611	<100DM	<1year	1	female	none	4	life_insurance	32	none	own	1	skilled_employee	1	none	yes	bad_credit
no_account	24	all_existing_credits_payed	house_investments	1901	100-500DM	1-4years	4	single_male	none	4	car_other	29	none	rent	1	high_qualified	1	yes	yes	good_credit
no_account	15	other_credits	car(used)	3368	>1000DM	>7years	3	single_male	none	4	none	23	none	rent	2	skilled_employee	1	yes	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	1574	<100DM	1-4years	4	single_male	none	2	real_estate	50	none	own	1	skilled_employee	1	none	yes	good_credit
>200DM	18	all_credits_payed	house_investments	1445	no_account	4-7years	4	single_male	none	4	car_other	49	bank	own	1	unskilled_employee	1	none	yes	good_credit
no_account	15	other_credits	house_investments	1520	no_account	>7years	4	single_male	none	4	life_insurance	63	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	24	other_credits	car(new)	3878	100-500DM	<1year	4	male	none	2	car_other	37	none	own	1	skilled_employee	1	yes	yes	good_credit
negative	47	all_existing_credits_payed	car(new)	10722	<100DM	<1year	1	female	none	1	real_estate	35	none	own	1	unskilled_employee	1	yes	yes	good_credit
negative	48	all_existing_credits_payed	car(used)	4788	<100DM	4-7years	4	single_male	none	3	life_insurance	26	none	own	1	skilled_employee	2	none	yes	good_credit
0-200DM	48	delay_in_payments	other	7582	100-500DM	unemployed	2	single_male	none	4	none	31	none	for_free	1	high_qualified	1	yes	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	1092	<100DM	1-4years	4	female	guarantor	4	real_estate	49	none	own	2	skilled_employee	1	yes	yes	good_credit
negative	24	delay_in_payments	house_investments	1024	<100DM	<1year	4	male	none	4	real_estate	48	stores	own	1	skilled_employee	1	none	yes	bad_credit
no_account	12	all_existing_credits_payed	business	1076	<100DM	1-4years	2	male	none	2	real_estate	26	none	own	1	skilled_employee	1	yes	no	good_credit
0-200DM	36	all_existing_credits_payed	car(used)	9398	<100DM	<1year	1	male	none	4	car_other	28	none	rent	1	high_qualified	1	yes	yes	bad_credit
negative	24	other_credits	car(used)	6419	<100DM	>7years	2	female	none	4	none	44	none	for_free	2	high_qualified	2	yes	yes	good_credit
>200DM	42	other_credits	car(used)	4796	<100DM	>7years	4	single_male	none	4	none	56	none	for_free	1	skilled_employee	1	none	yes	good_credit
no_account	48	other_credits	business	7629	no_account	>7years	4	male	none	2	car_other	46	bank	own	2	high_qualified	2	none	yes	good_credit
0-200DM	48	all_existing_credits_payed	house_investments	9960	<100DM	<1year	1	female	none	2	car_other	26	none	own	1	skilled_employee	1	yes	yes	bad_credit
no_account	12	all_existing_credits_payed	car(used)	4675	no_account	<1year	1	female	none	4	car_other	20	none	rent	1	skilled_employee	1	none	yes	good_credit
no_account	10	all_existing_credits_payed	car(new)	1287	no_account	>7years	4	single_male	co-applicant	2	life_insurance	45	none	own	1	unskilled_employee	1	none	no	good_credit
no_account	18	all_existing_credits_payed	house_investments	2515	<100DM	1-4years	3	single_male	none	4	real_estate	43	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	21	other_credits	house_investments	2745	>1000DM	4-7years	3	single_male	none	2	car_other	32	none	own	2	skilled_employee	1	yes	yes	good_credit
no_account	6	all_existing_credits_payed	car(new)	672	<100DM	unemployed	1	female	none	4	real_estate	54	none	own	1	none	1	yes	yes	good_credit
0-200DM	36	all_credits_payed	house_investments	3804	<100DM	1-4years	4	female	none	1	car_other	42	none	own	1	skilled_employee	1	yes	yes	bad_credit
>200DM	24	other_credits	car(new)	1344	no_account	4-7years	4	single_male	none	2	real_estate	37	bank	own	2	unskilled_employee	2	none	yes	bad_credit
negative	10	other_credits	car(new)	1038	<100DM	4-7years	4	single_male	co-applicant	3	life_insurance	49	none	own	2	skilled_employee	1	yes	yes	good_credit
no_account	48	other_credits	car(new)	10127	500-1000DM	1-4years	2	single_male	none	2	none	44	bank	for_free	1	skilled_employee	1	none	yes	bad_credit
no_account	6	all_existing_credits_payed	house_investments	1543	>1000DM	1-4years	4	male	none	2	real_estate	33	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	30	all_existing_credits_payed	car(used)	4811	no_account	4-7years	2	female	none	4	life_insurance	24	stores	rent	1	unskilled_employee	1	none	yes	good_credit
negative	12	all_existing_credits_payed	house_investments	727	100-500DM	<1year	4	male	none	3	none	33	none	own	1	unskilled_employee	1	yes	yes	bad_credit
0-200DM	8	all_existing_credits_payed	house_investments	1237	<100DM	1-4years	3	female	none	4	real_estate	24	none	own	1	skilled_employee	1	none	yes	bad_credit
0-200DM	9	all_existing_credits_payed	car(new)	276	<100DM	1-4years	4	male	none	4	real_estate	22	none	rent	1	unskilled_employee	1	none	yes	good_credit
0-200DM	48	all_existing_credits_payed	other	5381	no_account	unemployed	3	single_male	none	4	none	40	bank	for_free	1	none	1	yes	yes	good_credit
no_account	24	all_existing_credits_payed	house_investments	5511	100-500DM	1-4years	4	single_male	none	1	car_other	25	stores	own	1	skilled_employee	1	none	yes	good_credit
>200DM	24	all_existing_credits_payed	house_investments	3749	<100DM	<1year	2	female	none	4	car_other	26	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	car(new)	685	<100DM	4-7years	2	male	none	3	car_other	25	bank	own	1	unskilled_employee	1	none	yes	bad_credit
>200DM	4	all_existing_credits_payed	car(new)	1494	no_account	<1year	1	single_male	none	2	real_estate	29	none	own	1	unskilled_employee	2	none	no	good_credit
negative	36	all_credits_payed	house_investments	2746	<100DM	>7years	4	single_male	none	4	car_other	31	bank	own	1	skilled_employee	1	none	yes	bad_credit
negative	12	all_existing_credits_payed	house_investments	708	<100DM	1-4years	2	single_male	guarantor	3	life_insurance	38	none	own	1	unskilled_employee	2	none	yes	good_credit
0-200DM	24	all_existing_credits_payed	house_investments	4351	no_account	1-4years	1	female	none	4	life_insurance	48	none	own	1	unskilled_employee	1	yes	yes	good_credit
no_account	12	other_credits	education	701	<100DM	1-4years	4	single_male	none	2	car_other	32	none	own	2	skilled_employee	1	none	yes	good_credit
negative	15	delay_in_payments	house_investments	3643	<100DM	>7years	1	female	none	4	life_insurance	27	none	own	2	unskilled_employee	1	none	yes	good_credit
0-200DM	30	other_credits	car(new)	4249	<100DM	unemployed	4	male	none	2	car_other	28	none	own	2	high_qualified	1	none	yes	bad_credit
negative	24	all_existing_credits_payed	house_investments	1938	<100DM	<1year	4	male	none	3	life_insurance	32	none	own	1	skilled_employee	1	none	yes	bad_credit
negative	24	all_existing_credits_payed	car(used)	2910	<100DM	4-7years	2	single_male	none	1	none	34	none	for_free	1	high_qualified	1	yes	yes	good_credit
negative	18	all_existing_credits_payed	house_investments	2659	>1000DM	1-4years	4	single_male	none	2	car_other	28	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	18	other_credits	car(new)	1028	<100DM	1-4years	4	female	none	3	real_estate	36	none	own	2	skilled_employee	1	none	yes	good_credit
negative	8	other_credits	car(new)	3398	<100DM	4-7years	1	single_male	none	4	real_estate	39	none	own	2	unskilled_employee	1	none	no	good_credit
no_account	12	other_credits	house_investments	5801	no_account	>7years	2	single_male	none	4	life_insurance	49	none	rent	1	skilled_employee	1	yes	yes	good_credit
no_account	24	all_existing_credits_payed	car(new)	1525	>1000DM	4-7years	4	female	none	3	car_other	34	none	own	1	skilled_employee	2	yes	yes	good_credit
>200DM	36	all_existing_credits_payed	house_investments	4473	<100DM	>7years	4	single_male	none	2	car_other	31	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	6	all_existing_credits_payed	house_investments	1068	<100DM	>7years	4	single_male	none	4	car_other	28	none	own	1	skilled_employee	2	none	yes	good_credit
negative	24	other_credits	car(used)	6615	<100DM	unemployed	2	single_male	none	4	none	75	none	for_free	2	high_qualified	1	yes	yes	good_credit
no_account	18	other_credits	education	1864	100-500DM	1-4years	4	female	none	2	real_estate	30	none	own	2	skilled_employee	1	none	yes	bad_credit
0-200DM	60	all_existing_credits_payed	car(new)	7408	100-500DM	<1year	4	female	none	2	life_insurance	24	none	own	1	high_qualified	1	none	yes	bad_credit
no_account	48	other_credits	car(used)	11590	100-500DM	1-4years	2	female	none	4	car_other	24	bank	rent	2	unskilled_employee	1	none	yes	bad_credit
negative	24	all_credits_payed	house_investments	4110	<100DM	>7years	3	single_male	none	4	none	23	bank	rent	2	skilled_employee	2	none	yes	bad_credit
negative	6	other_credits	house_investments	3384	<100DM	1-4years	1	male	none	4	real_estate	44	none	rent	1	high_qualified	1	yes	yes	bad_credit
0-200DM	13	all_existing_credits_payed	house_investments	2101	<100DM	<1year	2	female	guarantor	4	life_insurance	23	none	own	1	unskilled_employee	1	none	yes	good_credit
negative	15	all_existing_credits_payed	house_investments	1275	no_account	1-4years	4	female	none	2	car_other	24	none	rent	1	skilled_employee	1	none	yes	bad_credit
negative	24	all_existing_credits_payed	house_investments	4169	<100DM	1-4years	4	single_male	none	4	life_insurance	28	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	10	all_existing_credits_payed	house_investments	1521	<100DM	1-4years	4	male	none	2	car_other	31	none	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	24	other_credits	education	5743	<100DM	<1year	2	female	none	4	none	24	none	for_free	2	skilled_employee	1	yes	yes	good_credit
negative	21	all_existing_credits_payed	house_investments	3599	<100DM	4-7years	1	female	none	4	car_other	26	none	rent	1	unskilled_employee	1	none	yes	good_credit
0-200DM	18	all_existing_credits_payed	house_investments	3213	500-1000DM	<1year	1	male	none	3	real_estate	25	none	rent	1	skilled_employee	1	none	yes	good_credit
0-200DM	18	all_existing_credits_payed	business	4439	<100DM	>7years	1	single_male	co-applicant	1	real_estate	33	bank	own	1	high_qualified	1	yes	yes	good_credit
>200DM	10	all_existing_credits_payed	car(new)	3949	<100DM	<1year	1	single_male	guarantor	1	life_insurance	37	none	own	1	unskilled_employee	2	none	yes	good_credit
no_account	15	other_credits	house_investments	1459	<100DM	1-4years	4	female	none	2	car_other	43	none	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	13	other_credits	house_investments	882	<100DM	<1year	4	single_male	guarantor	4	real_estate	23	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	24	all_existing_credits_payed	house_investments	3758	500-1000DM	unemployed	1	female	none	4	none	23	none	rent	1	none	1	none	yes	good_credit
no_account	6	delay_in_payments	business	1743	100-500DM	1-4years	1	single_male	none	2	real_estate	34	none	own	2	unskilled_employee	1	none	yes	good_credit
0-200DM	9	other_credits	education	1136	>1000DM	>7years	4	single_male	none	3	none	32	none	for_free	2	skilled_employee	2	none	yes	bad_credit
no_account	9	all_existing_credits_payed	house_investments	1236	<100DM	<1year	1	female	none	4	real_estate	23	none	rent	1	skilled_employee	1	yes	yes	good_credit
0-200DM	9	all_existing_credits_payed	house_investments	959	<100DM	1-4years	1	female	none	2	car_other	29	none	own	1	skilled_employee	1	none	no	bad_credit
no_account	18	other_credits	car(used)	3229	no_account	unemployed	2	single_male	none	4	none	38	none	own	1	high_qualified	1	yes	yes	good_credit
negative	12	all_credits_payed	house_investments	6199	<100DM	1-4years	4	single_male	none	2	life_insurance	28	none	rent	2	skilled_employee	1	yes	yes	bad_credit
no_account	10	all_existing_credits_payed	education	727	500-1000DM	>7years	4	single_male	none	4	none	46	none	for_free	1	skilled_employee	1	yes	yes	good_credit
0-200DM	24	all_existing_credits_payed	car(new)	1246	<100DM	<1year	4	single_male	none	2	real_estate	23	stores	own	1	unskilled_employee	1	none	yes	bad_credit
no_account	12	other_credits	house_investments	2331	no_account	>7years	1	single_male	co-applicant	4	real_estate	49	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	36	delay_in_payments	house_investments	4463	<100DM	1-4years	4	single_male	none	2	car_other	26	none	own	2	high_qualified	1	yes	yes	bad_credit
no_account	12	all_existing_credits_payed	house_investments	776	<100DM	1-4years	4	male	none	2	real_estate	28	none	own	1	skilled_employee	1	none	yes	good_credit
negative	30	all_existing_credits_payed	house_investments	2406	<100DM	4-7years	4	female	none	4	real_estate	23	none	rent	1	skilled_employee	1	none	yes	bad_credit
0-200DM	18	all_existing_credits_payed	education	1239	no_account	1-4years	4	single_male	none	4	none	61	none	for_free	1	skilled_employee	1	none	yes	good_credit
>200DM	12	all_existing_credits_payed	house_investments	3399	no_account	>7years	2	single_male	none	3	car_other	37	none	own	1	high_qualified	1	none	yes	good_credit
>200DM	12	delay_in_payments	car(new)	2247	<100DM	1-4years	2	female	none	2	car_other	36	stores	own	2	skilled_employee	1	yes	yes	good_credit
no_account	6	all_existing_credits_payed	house_investments	1766	<100DM	1-4years	1	male	none	2	life_insurance	21	none	rent	1	skilled_employee	1	none	yes	good_credit
negative	18	all_existing_credits_payed	house_investments	2473	<100DM	unemployed	4	single_male	none	1	car_other	25	none	own	1	none	1	none	yes	bad_credit
no_account	12	all_existing_credits_payed	business	1542	<100DM	4-7years	2	single_male	none	4	car_other	36	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	18	other_credits	car(used)	3850	<100DM	4-7years	3	single_male	none	1	car_other	27	none	own	2	skilled_employee	1	none	yes	good_credit
negative	18	all_existing_credits_payed	house_investments	3650	<100DM	<1year	1	female	none	4	car_other	22	none	rent	1	skilled_employee	1	none	yes	good_credit
negative	36	all_existing_credits_payed	house_investments	3446	<100DM	>7years	4	single_male	none	2	car_other	42	none	own	1	skilled_employee	2	none	yes	bad_credit
0-200DM	18	all_existing_credits_payed	house_investments	3001	<100DM	4-7years	2	female	none	4	real_estate	40	none	rent	1	skilled_employee	1	none	yes	good_credit
